,Titulo,Enlace
81,Metodos basicos,https://www.youtube.com/embed/grKsUuU0-tU
82,Modulo propio,https://www.youtube.com/embed/lYXqlkKMz7E
83,Normalizacion,https://www.youtube.com/embed/XCEmfe9tUSQ
84,Agrupacion e histograma,https://www.youtube.com/embed/B4pvzCjcbxA
85,Variables dummies,https://www.youtube.com/embed/COeoBgrNI7Q
86,Analisis exploratorio,https://www.youtube.com/embed/C7011iShi7o
87,Regresion lineal,https://www.youtube.com/embed/41kvkuc-CuA
88,Regresion lineal compuesta,https://www.youtube.com/embed/XAQQ-GAAjL0
89,Ampliacion de modulo de datos,https://www.youtube.com/embed/Ih7ZcBJisXk
90,Optimizando el modulo de datos,https://www.youtube.com/embed/kUeg4-ZtxOY
91,Arbol de decision,https://www.youtube.com/embed/8YCwAPkWwds
92,Analisis dataset Propinas,https://www.youtube.com/embed/6ITBin4YOUQ
93,Analisis dataset Titanic,https://www.youtube.com/embed/8HDIq_SrFzI
94,Instalando GIT,https://www.youtube.com/embed/iddVTtmOkS4?list=PLhr9YdZStgI2QDMF1sJvz__t_j1KqFBrW
95,"Commits, etiquetas GIT",https://www.youtube.com/embed/WC8cVqmCyCA
96,Ramas GIT,https://www.youtube.com/embed/xEJBW5aUZkI
97,Unificar ramas GIT,https://www.youtube.com/embed/_4jZqYez-YM
98,GIT desde Visual Studio Code,https://www.youtube.com/embed/D9pSXV4BBVs
99,GIT stash,https://www.youtube.com/embed/conG-iNhcz8
100,GIT cherry pick,https://www.youtube.com/embed/MNUL5IgMam8
101,GIT gitignore,https://www.youtube.com/embed/BDT4p5DQIUo
102,GIT remoto,https://www.youtube.com/embed/nWTUhKmb2RA
103,Interfaz github,https://www.youtube.com/embed/ucx4Vkb_Utk
104,Github desktop,https://www.youtube.com/embed/18JW3jRu7EQ
105,Github pages,https://www.youtube.com/embed/VmUCmGE_up4
106,Colaboracion repositorio,https://www.youtube.com/embed/omptGMCOlgQ
107,Introduccion,https://www.youtube.com/embed/eMTM38QybGM?list=PLhr9YdZStgI3HTqGUAdMZx6MD67HwZ85X
108,Operadores y variables,https://www.youtube.com/embed/UgCfNT-4nk8?list=PLhr9YdZStgI3gfGKu3HGAJkCQHPZIzD8W
109,"Solicitar, mostrar resultados",https://www.youtube.com/embed/AfcnqBIf4u0?list=PLhr9YdZStgI3gfGKu3HGAJkCQHPZIzD8W
110,Condicional Switch,https://www.youtube.com/embed/PEA3vJMeSPo?list=PLhr9YdZStgI3gfGKu3HGAJkCQHPZIzD8W
111,Bucle For,https://www.youtube.com/embed/CR0o7_VlZF4?list=PLhr9YdZStgI3gfGKu3HGAJkCQHPZIzD8W
112,Bucle While / Do while,https://www.youtube.com/embed/F2oPPhjYn_k?list=PLhr9YdZStgI3gfGKu3HGAJkCQHPZIzD8W
113,Arrays,https://www.youtube.com/embed/-sxGArFbNU0?list=PLhr9YdZStgI3gfGKu3HGAJkCQHPZIzD8W
114,Primer proyecto,https://www.youtube.com/embed/m-fpeQf6XzQ?list=PLhr9YdZStgI3HTqGUAdMZx6MD67HwZ85X
115,Bucles,https://www.youtube.com/embed/VCJo5aPYES8?list=PLhr9YdZStgI3HTqGUAdMZx6MD67HwZ85X
116,Fuciones y metodos,https://www.youtube.com/embed/AkGa4UCEIXY?list=PLhr9YdZStgI3HTqGUAdMZx6MD67HwZ85X
117,Cronometro,https://www.youtube.com/embed/tv-awUSUU0Y?list=PLhr9YdZStgI3HTqGUAdMZx6MD67HwZ85X
118,Aforo,https://www.youtube.com/embed/MjUwDVf6B2Y?list=PLhr9YdZStgI3HTqGUAdMZx6MD67HwZ85X
119,Pomodoro,https://www.youtube.com/embed/fBk5wfU9mKQ?list=PLhr9YdZStgI3HTqGUAdMZx6MD67HwZ85X
120,Optimizacion y actualizacion app,https://www.youtube.com/embed/jcfxQPzfDV0?list=PLhr9YdZStgI3HTqGUAdMZx6MD67HwZ85X
121,Calculadora,https://www.youtube.com/embed/USjSaGDRuYA
122,Juego Pong,https://www.youtube.com/embed/bS9Lw4MtGC4?list=PLhr9YdZStgI3HTqGUAdMZx6MD67HwZ85X
123,Comenzando con Scratch,https://www.youtube.com/embed/wi_5CJPfxuA?list=PLhr9YdZStgI0nKegXoRAwb_ekrZkxcl3_
124,Bloques,https://www.youtube.com/embed/2Ogww_doccU?list=PLhr9YdZStgI0nKegXoRAwb_ekrZkxcl3_
125,Movimientos,https://www.youtube.com/embed/DwICI2hA0_c?list=PLhr9YdZStgI2SI10BKJJcGrOvOxdRrX12
126,Apariencia,https://www.youtube.com/embed/QGPwXCoAHmw?list=PLhr9YdZStgI0nKegXoRAwb_ekrZkxcl3_
127,Sonidos,https://www.youtube.com/embed/0uAri4Ko0Ws?list=PLhr9YdZStgI2SI10BKJJcGrOvOxdRrX12
128,Bloque de control,https://www.youtube.com/embed/PUq5jWiea80?list=PLhr9YdZStgI0nKegXoRAwb_ekrZkxcl3_
129,Eventos,https://www.youtube.com/embed/cGbRDHL5HH4?list=PLhr9YdZStgI0nKegXoRAwb_ekrZkxcl3_
130,Sensores,https://www.youtube.com/embed/pqltDRONFUs?list=PLhr9YdZStgI0nKegXoRAwb_ekrZkxcl3_
131,Juego clasico Pong,https://www.youtube.com/embed/95QnTi1qBco?list=PLhr9YdZStgI0nKegXoRAwb_ekrZkxcl3_
132,Operadores,https://www.youtube.com/embed/jY29Sgx-03g?list=PLhr9YdZStgI0nKegXoRAwb_ekrZkxcl3_
133,Mis bloques,https://www.youtube.com/embed/GWGf8reVavE?list=PLhr9YdZStgI0nKegXoRAwb_ekrZkxcl3_
134,Juego punto de mira,https://www.youtube.com/embed/JUVBydHwLPI?list=PLhr9YdZStgI0nKegXoRAwb_ekrZkxcl3_
